,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2012 Ford Fusion,Scenario name
Vehicle,vehPtType,1,vehPtType
,dragCoef,0.393,dragCoef
,frontalAreaM2,2.12,frontalAreaM2
,gliderKg,791.0702892,gliderKg
,vehCgM,0.53,vehCgM
,driveAxleWeightFrac,0.59,driveAxleWeightFrac
,wheelBaseM,2.72,wheelBaseM
,cargoKg,136,cargoKg
,vehOverrideKg,,vehOverrideKg
Fuel / Fuel Converter,maxFuelStorKw,1000,maxFuelStorKw
,fuelStorSecsToPeakPwr,1,fuelStorSecsToPeakPwr
,fuelStorKwh,0.815,wheelInertiaKgM2
,fuelStorKwhPerKg,590,fuelStorKwh
,maxFuelConvKw,9.89473291,fuelStorKwhPerKg
,fcEffMap,130.5,maxFuelConvKw
,fcEffType,,fcEffMap
,fcAbsEffImpr,1,fcEffType
,fuelConvSecsToPeakPwr,6,fuelConvSecsToPeakPwr
,fuelConvBaseKg,61,fuelConvBaseKg
,fuelConvKwPerKg,0,fcAbsEffImpr
,mcPwrOutPerc,0.47,fuelConvKwPerKg
,largeBaselineEff,0,maxMotorKw
,smallBaselineEff,0.931,motorPeakEff
Motor,modernMax,0.95,modernMax
,maxMotorKw,,mcPwrOutPerc
,motorPeakEff,,largeBaselineEff
,motorSecsToPeakPwr,,smallBaselineEff
,stopStart,FALSE,stopStart
,mcPeKgPerKw,5,motorSecsToPeakPwr
,mcPeBaseKg,83%,mcPeKgPerKw
ESS,maxEssKw,21.6,mcPeBaseKg
,maxEssKwh,0,maxEssKw
,essKgPerKwh,0,maxEssKwh
,essBaseKg,44,essKgPerKwh
,essRoundTripEff,0,essBaseKg
,essLifeCoefA,0.834,essRountTripEff
,essLifeCoefB,110,essLifeCoefA
Wheels,wheelInertiaKgM2,-0.68,essLifeCoefB
,numWheels,0.82,wheelInteriaKgM2
,wheelRrCoef,4,numWheels
,wheelRadiusM,0.007,wheelRrCoef
,wheelCoefOfFric,0.326,wheelRadiusM
"SOC, ESS Discharch / Charge",minSoc,0.97,essRoundTripEff
,maxSoc,0.7,wheelCoefOfFric
,essDischgToFcMaxEffPerc,0.4,minSoc
,essChgToFcMaxEffPerc,0.8,maxSoc
"Acceleration, FC, Efficiency, Mass, Regen, etc",maxAccelBufferMph,0,essDischgToFcMaxEffPerc
,maxAccelBufferPercOfUseableSoc,0,essChgToFcMaxEffPerc
,percHighAccBuf,60,maxAccelBufferMph
,mphFcOn,0.2,maxAccelBufferPercOfUseableSoc
,kwDemandFcOn,0,percHighAccBuf
,altEff,47,mphFcOn
,chgEff,100,kwDemandFcOn
,auxKw,1,altEff
,forceAuxOnFC,0.86,chgEff
,transKg,0.7,auxKw
,transEff,FALSE,forceAuxOnFC
,compMassMultiplier,114,transKg
,essToFuelOkError,0.875,transEff
,maxRegen,1.4,compMassMultiplier
"Val: MPGGE, KwhPM, 0 to 60, etc",valUddsMpgge,0.005,essToFuelOkError
,valHwyMpgge,0.9,maxRegen
,valCombMpgge,22,valUddsMpgge
,valUddsKwhPerMile,32,valHwyMpgge
,valHwyKwhPerMile,25.6,valCombMpgge
,valCombKwhPerMile,,valUddsKwhPerMile
,valCdRangeMi,,valHwyKwhPerMile
,valConst65MphKwhPerMile,,valCombKwhPerMile
,valConst60MphKwhPerMile,,valCdRangeMi
,valConst55MphKwhPerMile,,valConst65MphKwhPerMile
,valConst45MphKwhPerMile,,valConst60MphKwhPerMile
,valUnadjUddsKwhPerMile,,valConst55MphKwhPerMile
,valUnadjHwyKwhPerMile,,valConst45MphKwhPerMile
,val0To60Mph,,valUnadjUddsKwhPerMile
,valEssLifeMiles,,valUnadjHwyKwhPerMile
,valRangeMiles,,val0To60Mph
,valVehBaseCost,,valEssLifeMiles
,valMsrp,,valRangeMiles
,minFcTimeOn,,valVehBaseCost
,idleFcKw,,valMsrp
,,30,minFcTimeOn
,,0,idleFcKw
