,Param Name,Param Value,Param Source / Comments
Category,Scenario name,Line Haul Conv,
Vehicle,vehPtType,1,
,dragCoef,0.546,
,frontalAreaM2,10.4,
,gliderKg,11776,
,vehCgM,0.46,
,driveAxleWeightFrac,0.8,
,wheelBaseM,2.26,
,cargoKg,17236,
,vehOverrideKg,,
Fuel / Fuel Converter,maxFuelStorKw,5000,
,fuelStorSecsToPeakPwr,1,
,fuelStorKwh,11385,
,fuelStorKwhPerKg,12.67,
,maxFuelConvKw,331,
,fcEffMap,,
,fcEffType,2,
,fcAbsEffImpr,1,
,fuelConvSecsToPeakPwr,6,
,fuelConvBaseKg,0,
,fuelConvKwPerKg,0.26,
Motor,mcPwrOutPerc,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",
,largeBaselineEff,"[0.83, 0.85, 0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]",
,smallBaselineEff,"[0.12,  0.16, 0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",
,modernMax,0.95,
,maxMotorKw,0,
,motorPeakEff,0.95,
,motorSecsToPeakPwr,4,
,stopStart,FALSE,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS,maxEssKw,0,
,maxEssKwh,0,
,essKgPerKwh,44,
,essBaseKg,0,
,essRoundTripEff,0.97,
,essLifeCoefA,135,
,essLifeCoefB,-0.6844,
Wheels,wheelInertiaKgM2,10,
,numWheels,18,
,wheelRrCoef,0.0061,
,wheelRadiusM,0.506,
,wheelCoefOfFric,0.6,
"SOC, ESS Discharch / Charge",minSoc,0.4,
,maxSoc,0.8,
,essDischgToFcMaxEffPerc,1,
,essChgToFcMaxEffPerc,0.1,
"Acceleration, FC, Efficiency, Mass, Regen, etc",maxAccelBufferMph,60,
,maxAccelBufferPercOfUseableSoc,0.5,
,percHighAccBuf,0,
,mphFcOn,1,
,kwDemandFcOn,100,
,altEff,1,
,chgEff,0.86,
,auxKw,3.5,
,forceAuxOnFC,FALSE,
,transKg,300,
,transEff,0.97,
,compMassMultiplier,1.2,
,essToFuelOkError,0.005,
,maxRegen,0.9,
"Val: MPGGE, KwhPM, 0 to 60, etc",valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,,
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
,minFcTimeOn,30,
,idleFcKw,0.5,
