,Param Name,Param Value,Param Source / Comments
,Scenario_name,2022 Tesla Model 3 RWD,
,vehYear,2022,
,vehPtType,BEV,
,dragCoef,0.23,previously 0.20831719183517006; https://arxiv.org/pdf/1908.08920.pdf%5D
,frontalAreaM2,2.22,previously 2.667759525218935; https://arxiv.org/pdf/1908.08920.pdf%5D
,gliderKg,628.8332729551923,
,vehCgM,-0.53,negative = RWD
,driveAxleWeightFrac,0.59,
,wheelBaseM,2.87528,previously 2.6
,cargoKg,136.0,
,vehOverrideKg,1752,https://www.evspecifications.com/en/model/935f298; previously calculated as 1887.969865101469
,compMassMultiplier,1.4,
,maxFuelStorKw,0.0,
,fuelStorSecsToPeakPwr,1.0,
,fuelStorKwh,0.0,
,fuelStorKwhPerKg,9.89,
,maxFuelConvKw,0.0,
,fcPwrOutPerc,"[0.0, 0.005, 0.015, 0.04, 0.06, 0.1, 0.14, 0.2, 0.4, 0.6, 0.8, 1.0]",
,fcEffMap,"[0.1, 0.12, 0.28, 0.35, 0.38, 0.39, 0.4, 0.4, 0.38, 0.37, 0.36, 0.35]",
,fcEffType,SI,
,fuelConvSecsToPeakPwr,6.0,
,fuelConvBaseKg,61.0,
,fuelConvKwPerKg,2.13,
,minFcTimeOn,30.0,
,idleFcKw,0.0,
,maxMotorKw,239,https://www.evspecifications.com/en/model/935f298; previously 191.64516562019955
,mcPwrOutPerc,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",
,mcEffMap,,
,motorSecsToPeakPwr,4.0,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
,maxEssKw,201.22742390120953,
,maxEssKwh,54.0,
,essKgPerKwh,8.0,
,essBaseKg,75.0,
,essRoundTripEff,0.97,
,essLifeCoefA,110.0,
,essLifeCoefB,-0.6811,
,minSoc,0.05,
,maxSoc,0.98,
,essDischgToFcMaxEffPerc,0.0,
,essChgToFcMaxEffPerc,0.0,
,wheelInertiaKgM2,0.815,
,numWheels,4.0,
,wheelRrCoef,0.007,previously 0.009028609173159454
,wheelRadiusM,0.33435,previously 0.336
,wheelCoefOfFric,0.7,
,maxAccelBufferMph,60.0,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.0,
,mphFcOn,1.0,
,kwDemandFcOn,100.0,
,maxRegen,0.98,
,stopStart,False,
,forceAuxOnFC,False,
,altEff,1.0,
,chgEff,0.86,
,auxKw,0.25,
,transKg,114.0,
,transEff,0.98,
,essToFuelOkError,0.005,
,valUddsMpgge,0,
,valHwyMpgge,0,
,valCombMpgge,0,
,valUddsKwhPerMile,0,
,valHwyKwhPerMile,0,
,valCombKwhPerMile,0,
,valCdRangeMi,0,
,valConst65MphKwhPerMile,0,
,valConst60MphKwhPerMile,0,
,valConst55MphKwhPerMile,0,
,valConst45MphKwhPerMile,0,
,valUnadjUddsKwhPerMile,0,
,valUnadjHwyKwhPerMile,0,
,val0To60Mph,5.2,https://www.evspecifications.com/en/model/935f298
,valEssLifeMiles,0,
,valRangeMiles,0,
,valVehBaseCost,0,
,valMsrp,0,
