,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2021 BMW iX xDrive40,
Vehicle,vehYear,2021,
,vehPtType,BEV,
,dragCoef,0.25,
,frontalAreaM2,2.82,https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,gliderKg,0,
,vehCgM,-0.53,negative for AWD
,driveAxleWeightFrac,0.61,
,wheelBaseM,3,https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,cargoKg,0,
,vehOverrideKg,2600,
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,0,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,0,
,fuelStorKwhPerKg,0,
,maxFuelConvKw,0,
,fcEffMap,,use default SI fcEffMap
,fcEffType,SI,
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,0,
,fuelConvKwPerKg,0,
,minFcTimeOn,30.3,
,idleFcKw,0,
Motor,maxMotorKw,240,https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS / Battery,maxEssKw,1000,
,maxEssKwh,76.6,71 kWh usable; https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,essKgPerKwh,8.9,
,essBaseKg,75,
,essRoundTripEff,0.97,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0.04,71 kWh usable; https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,maxSoc,0.96689295039,71 kWh usable; https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.0101,
,wheelRadiusM,0.395,235/60R20; https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,wheelCoefOfFric,0.8,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,1,
,chgEff,0.86,
,auxKw,0.25,
,transKg,114.9,
,transEff,0.98,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,5.5,https://www.automobile-catalog.com/car/2021/3005285/bmw_ix_xdrive40.html#gsc.tab=0
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
