,Param Name,Param Value,Param Source / Comments
Category,Scenario name,Regional Delivery Class 8 Truck,
Vehicle,vehPtType,1,
,dragCoef,0.8,
,frontalAreaM2,10,
,gliderKg,13625,
,vehCgM,0.53,
,driveAxleWeightFrac,0.59,
,wheelBaseM,2.7536,
,cargoKg,136,
,vehOverrideKg,15076,
Fuel / Fuel Converter,maxFuelStorKw,5000,
,fuelStorSecsToPeakPwr,1,
,fuelStorKwh,4000,
,fuelStorKwhPerKg,9.875636446,
,maxFuelConvKw,212,
,fcEffMap,"[0.08,  0.12, 0.18, 0.21, 0.23, 0.28, 0.3, 0.34, 0.39, 0.39, 0.385, 0.37]",
,fcEffType,3,
,fcAbsEffImpr,0,
,fuelConvSecsToPeakPwr,6,
,fuelConvBaseKg,61,
,fuelConvKwPerKg,0.62,
,mcPwrOutPerc,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",
,largeBaselineEff,"[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]",
,smallBaselineEff,"[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",
Motor,modernMax,0.95,
,maxMotorKw,0,
,motorPeakEff,0.95,
,motorSecsToPeakPwr,4,
,stopStart,FALSE,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS,maxEssKw,0,
,maxEssKwh,0,
,essKgPerKwh,44,
,essBaseKg,0,
,essRoundTripEff,0.97,
,essLifeCoefA,135,
,essLifeCoefB,-0.6844,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.0092,
,wheelRadiusM,0.506,
,wheelCoefOfFric,0.7,
"SOC, ESS Discharch / Charge",minSoc,0.4,
,maxSoc,0.8,
,essDischgToFcMaxEffPerc,1,
,essChgToFcMaxEffPerc,0.1,
"Acceleration, FC, Efficiency, Mass, Regen, etc",maxAccelBufferMph,60,
,maxAccelBufferPercOfUseableSoc,0.5,
,percHighAccBuf,0,
,mphFcOn,1,
,kwDemandFcOn,100,
,altEff,1,
,chgEff,0.86,
,auxKw,10,
,forceAuxOnFC,FALSE,
,transKg,114,
,transEff,0.85,
,compMassMultiplier,1.4,
,essToFuelOkError,0.005,
,maxRegen,0.98,
"Val: MPGGE, KwhPM, 0 to 60, etc",valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,,
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
,minFcTimeOn,30,
,idleFcKw,4.24,
