,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2020 VW Golf 1.5TSI,L4284 W1789 H1456 Wheelbase2636 length:wheelbase = 1.63 https://www.carfolio.com/volkswagen-golf-1.5-tsi-618618
Vehicle,vehPtType,Conv,
,dragCoef,0.275,"# previous 0.275 Use 2019 MY data, https://www.carfolio.com/volkswagen-golf-1.5-tsi-618618"
,frontalAreaM2,2.21,"Use 2019 MY data, https://www.carfolio.com/volkswagen-golf-1.5-tsi-618618"
,gliderKg,1045.636,
,vehCgM,0.53,
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.636,
,cargoKg,136,
,vehOverrideKg,1416,auto-data.net/en/volkswagen-golf-vii-5-door-1.4-tsi-125hp-20420
Fuel / Fuel Converter,maxFuelStorKw,2000,Fuel Storage tank 50 liters
,fuelStorSecsToPeakPwr,1,
,fuelStorKwh,441.695609,50 L * 8.83391218 kWh/L; https://afdc.energy.gov/fuels/properties?fuels=GS
,fuelStorKwhPerKg,12.06,
,maxFuelConvKw,96,
,fcEffMap,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",
,fcEffType,SI,
,fuelConvSecsToPeakPwr,6,
,fuelConvBaseKg,61,
,fuelConvKwPerKg,2.13,
,mcPwrOutPerc,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",
,maxMotorKw,0,
,motorSecsToPeakPwr,4,
,stopStart,FALSE,
,mcPeKgPerKw,0.833,
,mcPeBaseKg,21.6,
ESS,maxEssKw,0,
,maxEssKwh,0,
,essKgPerKwh,8,
,essBaseKg,75,
,essRoundTripEff,0.97,
,essLifeCoefA,110,
,essLifeCoefB,-0.6811,
Wheels,wheelInertiaKgM2,0.823,
,numWheels,4,
,wheelRrCoef,0.009,
,wheelRadiusM,0.316,bndtechsource.wixsite.com/home/rotational-inertia-calculator
,wheelCoefOfFric,0.8,
"SOC, ESS Discharch / Charge",minSoc,0.1,
,maxSoc,0.95,
,essDischgToFcMaxEffPerc,0,
,essChgToFcMaxEffPerc,0,
"Acceleration, FC, Efficiency, Mass, Regen, etc",maxAccelBufferMph,60,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0,
,mphFcOn,55,
,kwDemandFcOn,100,
,altEff,1,
,chgEff,0.86,
,auxKw,0.75,
,forceAuxOnFC,FALSE,
,transKg,114,
,transEff,0.98,
,compMassMultiplier,1.4,
,essToFuelOkError,0.005,
,maxRegen,0.98,
"Val: MPGGE, KwhPM, 0 to 60, etc",valUddsMpgge,36,https://www.ultimatespecs.com/car-specs/Volkswagen/118818/Volkswagen-Golf-8-15-TSI-130HP.html
,valHwyMpgge,60,L38.2 M54.3 H61.4 EH53.3 Comb53.3 Source: https://www.encycarpedia.com/volkswagen/20-golf-1-5-tsi-130-hatch 
,valCombMpgge,49,https://www.auto-data.net/en/volkswagen-golf-viii-1.5-tsi-130hp-38151
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,8.7,https://www.auto-data.net/en/volkswagen-golf-viii-1.5-tsi-130hp-38151
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
,minFcTimeOn,30,
,idleFcKw,1.96,
