cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0.2500002,0,0
9,0.8888896,0,0
10,2.0277794,0,0
11,3.4444472,0,0
12,4.9722262,0,0
13,6.527783,0,0
14,8.0833398,0,0
15,9.5277854,0,0
16,10.7222308,0,0
17,11.5555648,0,0
18,12.1944542,0,0
19,12.7500102,0,0
20,13.3611218,0,0
21,13.9722334,0,0
22,14.6111228,0,0
23,15.2222344,0,0
24,15.5000124,0,0
25,15.3333456,0,0
26,14.9722342,0,0
27,14.6389006,0,0
28,14.6666784,0,0
29,15.27779,0,0
30,16.250013,0,0
31,17.3055694,0,0
32,18.2500146,0,0
33,18.9166818,0,0
34,19.1944598,0,0
35,19.305571,0,0
36,19.4166822,0,0
37,19.6111268,0,0
38,19.8055714,0,0
39,20.0555716,0,0
40,20.2222384,0,0
41,20.3333496,0,0
42,20.3889052,0,0
43,20.5000164,0,0
44,20.7777944,0,0
45,21.3055726,0,0
46,21.9722398,0,0
47,22.5277958,0,0
48,22.8055738,0,0
49,22.6944626,0,0
50,22.3055734,0,0
51,21.8889064,0,0
52,21.4722394,0,0
53,21.0833502,0,0
54,20.83335,0,0
55,20.7500166,0,0
56,20.7500166,0,0
57,20.7500166,0,0
58,20.7222388,0,0
59,20.6666832,0,0
60,20.5833498,0,0
61,20.5277942,0,0
62,20.5833498,0,0
63,20.8611278,0,0
64,21.3333504,0,0
65,21.8611286,0,0
66,22.3333512,0,0
67,22.6944626,0,0
68,22.9444628,0,0
69,23.194463,0,0
70,23.4444632,0,0
71,23.6389078,0,0
72,23.8055746,0,0
73,23.9722414,0,0
74,24.166686,0,0
75,24.4166862,0,0
76,24.6666864,0,0
77,24.9166866,0,0
78,25.0833534,0,0
79,25.1666868,0,0
80,25.1666868,0,0
81,25.138909,0,0
82,25.1111312,0,0
83,25.0277978,0,0
84,24.9166866,0,0
85,24.8055754,0,0
86,24.722242,0,0
87,24.6666864,0,0
88,24.6944642,0,0
89,24.7500198,0,0
90,24.8055754,0,0
91,24.8333532,0,0
92,24.8333532,0,0
93,24.7777976,0,0
94,24.6944642,0,0
95,24.583353,0,0
96,24.444464,0,0
97,24.305575,0,0
98,24.2222416,0,0
99,24.1944638,0,0
100,24.2222416,0,0
101,24.2500194,0,0
102,24.2777972,0,0
103,24.305575,0,0
104,24.2777972,0,0
105,24.1944638,0,0
106,24.1111304,0,0
107,24.0000192,0,0
108,23.8611302,0,0
109,23.6666856,0,0
110,23.333352,0,0
111,22.8333516,0,0
112,22.3055734,0,0
113,21.8333508,0,0
114,21.4444616,0,0
115,21.0833502,0,0
116,20.5000164,0,0
117,19.5555712,0,0
118,18.2500146,0,0
119,16.805569,0,0
120,15.5277902,0,0
121,14.722234,0,0
122,14.3333448,0,0
123,14.1389002,0,0
124,14.027789,0,0
125,13.9444556,0,0
126,13.9722334,0,0
127,14.0555668,0,0
128,14.2222336,0,0
129,14.3889004,0,0
130,14.583345,0,0
131,14.8333452,0,0
132,15.2500122,0,0
133,15.833346,0,0
134,16.5000132,0,0
135,17.1944582,0,0
136,17.8611254,0,0
137,18.4444592,0,0
138,18.9166818,0,0
139,19.3333488,0,0
140,19.6389046,0,0
141,19.8333492,0,0
142,19.9444604,0,0
143,20.2222384,0,0
144,20.83335,0,0
145,21.6111284,0,0
146,22.4166846,0,0
147,23.1389074,0,0
148,23.7222412,0,0
149,24.2500194,0,0
150,24.7500198,0,0
151,25.1666868,0,0
152,25.5277982,0,0
153,25.8889096,0,0
154,26.2777988,0,0
155,26.666688,0,0
156,27.083355,0,0
157,27.500022,0,0
158,27.7222444,0,0
