cycSecs,cycMps,cycGrade,cycRoadType
0,0.00,0,0
1,0.61,0,0
2,1.22,0,0
3,1.75,0,0
4,2.19,0,0
5,2.56,0,0
6,2.89,0,0
7,3.19,0,0
8,3.58,0,0
9,4.08,0,0
10,4.72,0,0
11,5.50,0,0
12,6.42,0,0
13,7.42,0,0
14,8.47,0,0
15,9.47,0,0
16,10.42,0,0
17,11.28,0,0
18,12.03,0,0
19,12.69,0,0
20,13.25,0,0
21,13.69,0,0
22,14.03,0,0
23,14.25,0,0
24,14.47,0,0
25,14.64,0,0
26,14.83,0,0
27,15.00,0,0
28,15.14,0,0
29,15.28,0,0
30,15.44,0,0
31,15.64,0,0
32,15.89,0,0
33,16.25,0,0
34,16.72,0,0
35,17.31,0,0
36,17.97,0,0
37,18.64,0,0
38,19.22,0,0
39,19.64,0,0
40,19.97,0,0
41,20.19,0,0
42,20.39,0,0
43,20.50,0,0
44,20.58,0,0
45,20.56,0,0
46,20.44,0,0
47,20.14,0,0
48,19.67,0,0
49,19.06,0,0
50,18.39,0,0
51,17.78,0,0
52,17.28,0,0
53,16.92,0,0
54,16.72,0,0
55,16.67,0,0
56,16.78,0,0
57,17.06,0,0
58,17.56,0,0
59,18.22,0,0
60,19.00,0,0
61,19.89,0,0
62,20.81,0,0
63,21.78,0,0
64,22.72,0,0
65,23.58,0,0
66,24.28,0,0
67,24.72,0,0
68,25.00,0,0
69,25.17,0,0
70,25.28,0,0
71,25.42,0,0
72,25.56,0,0
73,25.75,0,0
74,25.94,0,0
75,26.17,0,0
76,26.36,0,0
77,26.58,0,0
78,26.83,0,0
79,27.14,0,0
80,27.47,0,0
81,27.89,0,0
82,28.33,0,0
83,28.78,0,0
84,29.22,0,0
85,29.67,0,0
86,30.14,0,0
87,30.61,0,0
88,31.08,0,0
89,31.58,0,0
90,32.03,0,0
91,32.44,0,0
92,32.83,0,0
93,33.19,0,0
94,33.53,0,0
95,33.83,0,0
96,34.06,0,0
97,34.22,0,0
98,34.33,0,0
99,34.36,0,0
100,34.33,0,0
101,34.25,0,0
102,34.17,0,0
103,34.03,0,0
104,33.92,0,0
105,33.75,0,0
106,33.56,0,0
107,33.33,0,0
108,33.08,0,0
109,32.81,0,0
110,32.53,0,0
111,32.28,0,0
112,32.08,0,0
113,31.92,0,0
114,31.81,0,0
115,31.69,0,0
116,31.64,0,0
117,31.58,0,0
118,31.47,0,0
119,31.36,0,0
120,31.17,0,0
121,30.94,0,0
122,30.69,0,0
123,30.42,0,0
124,30.14,0,0
125,29.92,0,0
126,29.75,0,0
127,29.61,0,0
128,29.56,0,0
129,29.50,0,0
130,29.50,0,0
131,29.50,0,0
132,29.56,0,0
133,29.58,0,0
134,29.67,0,0
135,29.78,0,0
136,29.94,0,0
137,30.14,0,0
138,30.39,0,0
139,30.69,0,0
140,31.03,0,0
141,31.39,0,0
142,31.69,0,0
143,31.97,0,0
144,32.19,0,0
145,32.36,0,0
146,32.42,0,0
147,32.39,0,0
148,32.28,0,0
149,32.00,0,0
150,31.61,0,0
151,31.11,0,0
152,30.58,0,0
153,30.08,0,0
154,29.72,0,0
155,29.47,0,0
156,29.39,0,0
157,29.36,0,0
158,29.36,0,0
159,29.33,0,0
160,29.25,0,0
161,29.14,0,0
162,29.00,0,0
163,28.89,0,0
164,28.83,0,0
165,28.86,0,0
166,29.00,0,0
167,29.19,0,0
168,29.47,0,0
169,29.78,0,0
170,30.14,0,0
171,30.53,0,0
172,30.92,0,0
173,31.31,0,0
174,31.64,0,0
175,31.94,0,0
176,32.22,0,0
177,32.44,0,0
178,32.67,0,0
179,32.89,0,0
180,33.11,0,0
181,33.33,0,0
182,33.56,0,0
183,33.78,0,0
184,33.97,0,0
185,34.19,0,0
186,34.39,0,0
187,34.56,0,0
188,34.72,0,0
189,34.83,0,0
190,34.94,0,0
191,35.03,0,0
192,35.11,0,0
193,35.17,0,0
194,35.19,0,0
195,35.22,0,0
196,35.25,0,0
197,35.25,0,0
198,35.25,0,0
199,35.22,0,0
200,35.17,0,0
201,35.08,0,0
202,35.00,0,0
203,34.92,0,0
204,34.89,0,0
205,34.89,0,0
206,34.94,0,0
207,35.06,0,0
208,35.17,0,0
209,35.28,0,0
210,35.39,0,0
211,35.44,0,0
212,35.50,0,0
213,35.53,0,0
214,35.56,0,0
215,35.58,0,0
216,35.61,0,0
217,35.64,0,0
218,35.67,0,0
219,35.69,0,0
220,35.72,0,0
221,35.72,0,0
222,35.69,0,0
223,35.64,0,0
224,35.58,0,0
225,35.53,0,0
226,35.44,0,0
227,35.39,0,0
228,35.33,0,0
229,35.28,0,0
230,35.25,0,0
231,35.22,0,0
232,35.19,0,0
233,35.22,0,0
234,35.25,0,0
235,35.31,0,0
236,35.39,0,0
237,35.47,0,0
238,35.58,0,0
239,35.69,0,0
240,35.83,0,0
241,35.97,0,0
242,36.14,0,0
243,36.28,0,0
244,36.39,0,0
245,36.44,0,0
246,36.47,0,0
247,36.44,0,0
248,36.31,0,0
249,36.06,0,0
250,35.67,0,0
251,35.14,0,0
252,34.47,0,0
253,33.78,0,0
254,33.06,0,0
255,32.36,0,0
256,31.69,0,0
257,31.06,0,0
258,30.42,0,0
259,29.75,0,0
260,29.11,0,0
261,28.47,0,0
262,27.89,0,0
263,27.39,0,0
264,27.00,0,0
265,26.64,0,0
266,26.33,0,0
267,26.06,0,0
268,25.78,0,0
269,25.50,0,0
270,25.28,0,0
271,25.06,0,0
272,24.89,0,0
273,24.75,0,0
274,24.61,0,0
275,24.47,0,0
276,24.33,0,0
277,24.19,0,0
278,24.06,0,0
279,23.92,0,0
280,23.75,0,0
281,23.61,0,0
282,23.44,0,0
283,23.28,0,0
284,23.11,0,0
285,22.94,0,0
286,22.78,0,0
287,22.58,0,0
288,22.33,0,0
289,21.97,0,0
290,21.50,0,0
291,20.86,0,0
292,20.08,0,0
293,19.19,0,0
294,18.31,0,0
295,17.42,0,0
296,16.58,0,0
297,15.83,0,0
298,15.17,0,0
299,14.50,0,0
300,13.81,0,0
301,13.00,0,0
302,12.08,0,0
303,11.08,0,0
304,10.11,0,0
305,9.22,0,0
306,8.47,0,0
307,7.86,0,0
308,7.31,0,0
309,6.78,0,0
310,6.25,0,0
311,5.69,0,0
312,5.06,0,0
313,4.31,0,0
314,3.42,0,0
315,2.42,0,0
316,1.44,0,0
317,0.00,0,0
318,0.00,0,0
319,0.00,0,0
320,0.00,0,0
321,0.00,0,0
322,0.00,0,0
