cycSecs,cycMps,cycGrade,cycRoadType
0,0.00,0,0
1,0.00,0,0
2,0.00,0,0
3,0.00,0,0
4,0.00,0,0
5,0.00,0,0
6,0.00,0,0
7,0.00,0,0
8,0.00,0,0
9,0.00,0,0
10,0.00,0,0
11,0.00,0,0
12,0.06,0,0
13,0.47,0,0
14,1.50,0,0
15,2.75,0,0
16,3.64,0,0
17,4.69,0,0
18,6.03,0,0
19,7.22,0,0
20,7.64,0,0
21,7.81,0,0
22,7.86,0,0
23,8.00,0,0
24,8.08,0,0
25,8.56,0,0
26,8.86,0,0
27,9.47,0,0
28,10.17,0,0
29,10.86,0,0
30,11.47,0,0
31,11.81,0,0
32,12.03,0,0
33,12.19,0,0
34,12.33,0,0
35,12.36,0,0
36,12.28,0,0
37,11.86,0,0
38,11.08,0,0
39,10.28,0,0
40,9.61,0,0
41,8.97,0,0
42,8.06,0,0
43,6.97,0,0
44,6.17,0,0
45,5.81,0,0
46,5.67,0,0
47,5.42,0,0
48,5.11,0,0
49,4.94,0,0
50,4.94,0,0
51,4.83,0,0
52,4.36,0,0
53,3.64,0,0
54,3.36,0,0
55,3.33,0,0
56,3.33,0,0
57,3.33,0,0
58,3.42,0,0
59,3.50,0,0
60,4.08,0,0
61,4.25,0,0
62,4.42,0,0
63,4.50,0,0
64,4.75,0,0
65,4.94,0,0
66,5.03,0,0
67,5.11,0,0
68,5.64,0,0
69,6.44,0,0
70,7.36,0,0
71,8.28,0,0
72,9.06,0,0
73,9.56,0,0
74,9.86,0,0
75,10.11,0,0
76,10.39,0,0
77,10.69,0,0
78,10.92,0,0
79,10.97,0,0
80,10.83,0,0
81,10.69,0,0
82,10.36,0,0
83,10.28,0,0
84,10.19,0,0
85,9.97,0,0
86,9.81,0,0
87,9.61,0,0
88,9.50,0,0
89,8.86,0,0
90,7.58,0,0
91,6.11,0,0
92,4.72,0,0
93,3.94,0,0
94,3.33,0,0
95,2.53,0,0
96,1.61,0,0
97,1.00,0,0
98,0.61,0,0
99,0.00,0,0
100,0.00,0,0
101,0.00,0,0
102,0.00,0,0
103,0.00,0,0
104,0.00,0,0
105,0.00,0,0
106,0.00,0,0
107,0.00,0,0
108,0.00,0,0
109,0.00,0,0
110,0.00,0,0
111,0.00,0,0
112,0.00,0,0
113,0.00,0,0
114,0.00,0,0
115,0.00,0,0
116,0.00,0,0
117,0.00,0,0
118,0.00,0,0
119,0.00,0,0
120,0.00,0,0
121,0.00,0,0
122,0.00,0,0
123,0.00,0,0
124,0.00,0,0
125,0.00,0,0
126,0.00,0,0
127,0.00,0,0
128,0.00,0,0
129,0.00,0,0
130,0.00,0,0
131,0.00,0,0
132,0.00,0,0
133,0.00,0,0
134,0.00,0,0
135,0.00,0,0
136,0.00,0,0
137,0.00,0,0
138,0.06,0,0
139,0.53,0,0
140,1.69,0,0
141,3.25,0,0
142,4.56,0,0
143,5.25,0,0
144,5.53,0,0
145,5.78,0,0
146,6.33,0,0
147,7.06,0,0
148,7.69,0,0
149,8.11,0,0
150,8.28,0,0
151,8.17,0,0
152,7.56,0,0
153,6.28,0,0
154,4.81,0,0
155,3.69,0,0
156,3.33,0,0
157,3.50,0,0
158,3.92,0,0
159,4.78,0,0
160,5.58,0,0
161,6.50,0,0
162,7.08,0,0
163,7.67,0,0
164,8.19,0,0
165,8.64,0,0
166,8.92,0,0
167,9.22,0,0
168,9.78,0,0
169,10.33,0,0
170,10.56,0,0
171,10.39,0,0
172,9.75,0,0
173,8.61,0,0
174,7.53,0,0
175,7.03,0,0
176,6.97,0,0
177,7.19,0,0
178,7.72,0,0
179,8.11,0,0
180,8.22,0,0
181,8.19,0,0
182,8.11,0,0
183,7.86,0,0
184,7.25,0,0
185,6.56,0,0
186,5.83,0,0
187,5.25,0,0
188,4.75,0,0
189,4.36,0,0
190,4.03,0,0
191,3.81,0,0
192,3.58,0,0
193,3.47,0,0
194,3.39,0,0
195,3.33,0,0
196,3.33,0,0
197,3.33,0,0
198,3.33,0,0
199,3.47,0,0
200,3.61,0,0
201,3.89,0,0
202,4.17,0,0
203,4.58,0,0
204,5.28,0,0
205,5.89,0,0
206,6.61,0,0
207,7.47,0,0
208,8.22,0,0
209,8.89,0,0
210,9.78,0,0
211,10.42,0,0
212,10.89,0,0
213,11.25,0,0
214,11.56,0,0
215,11.97,0,0
216,12.50,0,0
217,13.08,0,0
218,13.61,0,0
219,14.06,0,0
220,14.39,0,0
221,14.64,0,0
222,14.75,0,0
223,14.86,0,0
224,14.94,0,0
225,15.06,0,0
226,15.22,0,0
227,15.36,0,0
228,15.50,0,0
229,15.61,0,0
230,15.69,0,0
231,15.69,0,0
232,15.61,0,0
233,15.25,0,0
234,14.69,0,0
235,14.17,0,0
236,13.83,0,0
237,13.67,0,0
238,13.44,0,0
239,13.03,0,0
240,12.31,0,0
241,11.53,0,0
242,10.97,0,0
243,10.28,0,0
244,9.61,0,0
245,8.97,0,0
246,8.06,0,0
247,6.97,0,0
248,6.17,0,0
249,5.81,0,0
250,5.67,0,0
251,5.42,0,0
252,5.11,0,0
253,4.94,0,0
254,4.94,0,0
255,4.83,0,0
256,4.36,0,0
257,4.03,0,0
258,4.28,0,0
259,4.97,0,0
260,5.72,0,0
261,6.44,0,0
262,7.14,0,0
263,7.97,0,0
264,9.03,0,0
265,10.03,0,0
266,10.83,0,0
267,11.33,0,0
268,11.92,0,0
269,12.33,0,0
270,12.75,0,0
271,12.78,0,0
272,12.67,0,0
273,12.58,0,0
274,12.14,0,0
275,11.33,0,0
276,10.56,0,0
277,9.56,0,0
278,8.58,0,0
279,7.08,0,0
280,5.94,0,0
281,5.61,0,0
282,6.36,0,0
283,7.39,0,0
284,8.39,0,0
285,9.47,0,0
286,10.39,0,0
287,11.31,0,0
288,12.22,0,0
289,13.14,0,0
290,13.67,0,0
291,13.83,0,0
292,13.67,0,0
293,13.36,0,0
294,13.14,0,0
295,13.00,0,0
296,12.97,0,0
297,13.00,0,0
298,13.08,0,0
299,13.14,0,0
300,13.14,0,0
301,13.08,0,0
302,12.94,0,0
303,12.72,0,0
304,12.44,0,0
305,12.03,0,0
306,11.61,0,0
307,11.33,0,0
308,11.19,0,0
309,11.14,0,0
310,11.03,0,0
311,10.89,0,0
312,10.69,0,0
313,10.39,0,0
314,10.00,0,0
315,9.56,0,0
316,9.17,0,0
317,8.81,0,0
318,8.33,0,0
319,7.78,0,0
320,7.25,0,0
321,7.11,0,0
322,6.92,0,0
323,6.92,0,0
324,6.75,0,0
325,6.64,0,0
326,6.64,0,0
327,6.56,0,0
328,6.47,0,0
329,5.69,0,0
330,4.86,0,0
331,4.69,0,0
332,4.64,0,0
333,4.42,0,0
334,4.33,0,0
335,4.17,0,0
336,4.03,0,0
337,3.97,0,0
338,4.03,0,0
339,4.28,0,0
340,4.94,0,0
341,5.86,0,0
342,6.69,0,0
343,6.94,0,0
344,7.03,0,0
345,7.08,0,0
346,7.33,0,0
347,7.39,0,0
348,7.53,0,0
349,7.69,0,0
350,7.81,0,0
351,7.83,0,0
352,7.81,0,0
353,7.78,0,0
354,7.75,0,0
355,7.75,0,0
356,7.81,0,0
357,7.83,0,0
358,7.78,0,0
359,7.47,0,0
360,6.94,0,0
361,6.44,0,0
362,6.08,0,0
363,5.86,0,0
364,5.75,0,0
365,5.75,0,0
366,5.78,0,0
367,5.89,0,0
368,6.14,0,0
369,6.53,0,0
370,6.75,0,0
371,6.81,0,0
372,6.61,0,0
373,5.92,0,0
374,4.92,0,0
375,4.00,0,0
376,3.31,0,0
377,2.83,0,0
378,2.47,0,0
379,2.22,0,0
380,2.00,0,0
381,1.69,0,0
382,1.36,0,0
383,1.03,0,0
384,0.64,0,0
385,0.25,0,0
386,0.00,0,0
387,0.00,0,0
388,0.00,0,0
389,0.00,0,0
390,0.00,0,0
391,0.00,0,0
392,0.14,0,0
393,0.58,0,0
394,1.33,0,0
395,2.31,0,0
396,3.42,0,0
397,4.61,0,0
398,5.81,0,0
399,6.72,0,0
400,7.11,0,0
401,7.11,0,0
402,6.92,0,0
403,6.47,0,0
404,6.00,0,0
405,5.61,0,0
406,5.19,0,0
407,4.72,0,0
408,4.25,0,0
409,3.94,0,0
410,3.86,0,0
411,3.89,0,0
412,3.94,0,0
413,4.03,0,0
414,4.14,0,0
415,4.42,0,0
416,4.83,0,0
417,5.19,0,0
418,5.31,0,0
419,5.22,0,0
420,4.89,0,0
421,4.61,0,0
422,4.50,0,0
423,4.56,0,0
424,4.78,0,0
425,5.31,0,0
426,6.28,0,0
427,7.61,0,0
428,8.78,0,0
429,9.28,0,0
430,9.31,0,0
431,9.11,0,0
432,8.86,0,0
433,8.69,0,0
434,8.64,0,0
435,8.50,0,0
436,8.11,0,0
437,7.42,0,0
438,6.39,0,0
439,5.06,0,0
440,3.58,0,0
441,2.14,0,0
442,1.06,0,0
443,0.36,0,0
444,0.06,0,0
445,0.00,0,0
446,0.00,0,0
447,0.00,0,0
448,0.00,0,0
449,0.00,0,0
450,0.00,0,0
451,0.00,0,0
452,0.00,0,0
453,0.00,0,0
454,0.00,0,0
455,0.00,0,0
