,Param Name,Param Value,Param Source / Comments
Category,Scenario name,2023 Mitsubishi Pajero Sport,
Vehicle,vehYear,2023,
,vehPtType,Conv,
,dragCoef,0.40,http://australiancar.reviews/reviews.php#!content=review&make=Mitsubishi&model=Pajero%20Sport&gen=1513; alternative 0.36 http://download.garuda.kemdikbud.go.id/article.php?article=2930406&val=25889&title=AERODYNAMIC%20ANALYSIS%20OF%20SPORT%20UTILITY%20VEHICLE%20SUV%20BY%20COMPUTATIONAL%20FLUID%20DYNAMICS%20CFD%20APROACH
,frontalAreaM2,2.83094625,85% * 1.815m * 1.835m = 2.83094625m²; https://www.mitsubishi-motors.com.au/buying-tools/build-and-price.html#/pajero-sport/body-style?group=&body-style=5-seats;
,gliderKg,0,
,vehCgM,0.53,
,driveAxleWeightFrac,0.61,
,wheelBaseM,2.8,https://www.mitsubishi-motors.com.au/buying-tools/build-and-price.html#/pajero-sport/body-style?group=&body-style=5-seats
,cargoKg,0,
,vehOverrideKg,2080,1980 + 100; https://www.mitsubishi-motors.com.au/buying-tools/build-and-price.html#/pajero-sport/body-style?group=&body-style=5-seats
,compMassMultiplier,1.4,
Fuel / Fuel Converter / Engine,maxFuelStorKw,2000,
,fuelStorSecsToPeakPwr,1.1,
,fuelStorKwh,680.749625,68 L * 10.0110239 kWh/L = 680.749625 kWh; https://www.mitsubishi-motors.com.au/buying-tools/build-and-price.html#/pajero-sport/body-style?group=&body-style=5-seats
,fuelStorKwhPerKg,0,
,maxFuelConvKw,133,https://docs.google.com/gview?url=https://assets.mitsubishi-motors.co.id/products/brosur/1651021193-brochure-pajero-sportpdf.pdf
,fcEffMap,,use default Diesel fcEffMap
,fcEffType,Diesel,
,fuelConvSecsToPeakPwr,6.1,
,fuelConvBaseKg,0,
,fuelConvKwPerKg,0,
,minFcTimeOn,30.3,
,idleFcKw,0,
Motor,maxMotorKw,0,
,motorSecsToPeakPwr,4.8,
,mcPeKgPerKw,0,
,mcPeBaseKg,0,
ESS / Battery,maxEssKw,0,
,maxEssKwh,0,
,essKgPerKwh,0,
,essBaseKg,0,
,essRoundTripEff,1,
,essLifeCoefA,110.8,
,essLifeCoefB,-0.6811,
,minSoc,0,
,maxSoc,1,
,essDischgToFcMaxEffPerc,0.3,
,essChgToFcMaxEffPerc,0.3,
Wheels,wheelInertiaKgM2,0.815,
,numWheels,4,
,wheelRrCoef,0.0101,
,wheelRadiusM,0.3876,265/60R18;https://www.mitsubishi-motors.com.au/buying-tools/build-and-price.html#/pajero-sport/body-style?group=&body-style=5-seats
,wheelCoefOfFric,0.8,
HEV Controls,maxAccelBufferMph,60.3,
,maxAccelBufferPercOfUseableSoc,0.2,
,percHighAccBuf,0.8,
,mphFcOn,55.8,
,kwDemandFcOn,100.8,
,maxRegen,0.98,
,stopStart,FALSE,
,forceAuxOnFC,FALSE,
Misc.,altEff,1,
,chgEff,0.86,
,auxKw,1.5,
,transKg,0,
,transEff,0.9,
,essToFuelOkError,0.005,
Vehicle Performance Specs,valUddsMpgge,,
,valHwyMpgge,,
,valCombMpgge,,
,valUddsKwhPerMile,,
,valHwyKwhPerMile,,
,valCombKwhPerMile,,
,valCdRangeMi,,
,valConst65MphKwhPerMile,,
,valConst60MphKwhPerMile,,
,valConst55MphKwhPerMile,,
,valConst45MphKwhPerMile,,
,valUnadjUddsKwhPerMile,,
,valUnadjHwyKwhPerMile,,
,val0To60Mph,,
,valEssLifeMiles,,
,valRangeMiles,,
,valVehBaseCost,,
,valMsrp,,
