cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0.089408,0,0
7,0.312928,0,0
8,0.491744,0,0
9,0.759968,0,0
10,2.68224,0,0
11,6.213856,0,0
12,9.16432,0,0
13,11.488928,0,0
14,11.176,0,0
15,12.695936,0,0
16,14.439392,0,0
17,15.467584,0,0
18,16.31696,0,0
19,17.166336,0,0
20,17.836896,0,0
21,18.865088,0,0
22,19.580352,0,0
23,19.759168,0,0
24,19.401536,0,0
25,19.043904,0,0
26,18.015712,0,0
27,17.523968,0,0
28,17.166336,0,0
29,17.166336,0,0
30,17.523968,0,0
31,17.345152,0,0
32,17.345152,0,0
33,16.31696,0,0
34,14.439392,0,0
35,12.338304,0,0
36,9.968992,0,0
37,7.733792,0,0
38,5.14096,0,0
39,2.592832,0,0
40,0.536448,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0.357632,0,0
50,4.112768,0,0
51,6.660896,0,0
52,8.136128,0,0
53,9.924288,0,0
54,12.159488,0,0
55,14.037056,0,0
56,15.109952,0,0
57,16.629888,0,0
58,18.239232,0,0
59,19.66976,0,0
60,20.697952,0,0
61,21.279104,0,0
62,22.12848,0,0
63,22.888448,0,0
64,23.69312,0,0
65,24.318976,0,0
66,24.855424,0,0
67,25.213056,0,0
68,25.078944,0,0
69,25.123648,0,0
70,24.944832,0,0
71,24.631904,0,0
72,24.318976,0,0
73,24.229568,0,0
74,24.318976,0,0
75,24.229568,0,0
76,23.91664,0,0
77,23.380192,0,0
78,23.24608,0,0
79,23.201376,0,0
80,23.156672,0,0
81,23.201376,0,0
82,23.24608,0,0
83,23.4696,0,0
84,23.871936,0,0
85,24.542496,0,0
86,25.391872,0,0
87,26.285952,0,0
88,27.090624,0,0
89,27.850592,0,0
90,28.699968,0,0
91,29.594048,0,0
92,30.309312,0,0
93,31.024576,0,0
94,31.471616,0,0
95,31.561024,0,0
96,31.605728,0,0
97,31.426912,0,0
98,30.488128,0,0
99,29.72816,0,0
100,29.012896,0,0
101,28.476448,0,0
102,27.94,0,0
103,27.26944,0,0
104,26.509472,0,0
105,25.794208,0,0
106,25.03424,0,0
107,24.36368,0,0
108,23.603712,0,0
109,22.888448,0,0
110,22.12848,0,0
111,21.45792,0,0
112,20.697952,0,0
113,19.66976,0,0
114,18.373344,0,0
115,17.345152,0,0
116,16.853408,0,0
117,16.361664,0,0
118,15.780512,0,0
119,13.4112,0,0
120,10.907776,0,0
121,8.851392,0,0
122,6.92912,0,0
123,4.828032,0,0
124,2.816352,0,0
125,1.430528,0,0
126,0.938784,0,0
127,0.536448,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,1.207008,0,0
137,4.112768,0,0
138,7.197344,0,0
139,10.147808,0,0
140,13.053568,0,0
141,15.288768,0,0
142,17.345152,0,0
143,19.22272,0,0
144,20.250912,0,0
145,20.921472,0,0
146,21.45792,0,0
147,22.12848,0,0
148,22.486112,0,0
149,23.02256,0,0
150,23.335488,0,0
151,23.514304,0,0
152,23.69312,0,0
153,24.050752,0,0
154,24.050752,0,0
155,24.050752,0,0
156,24.408384,0,0
157,25.168352,0,0
158,25.436576,0,0
159,25.973024,0,0
160,26.107136,0,0
161,26.643584,0,0
162,26.777696,0,0
163,26.911808,0,0
164,27.04592,0,0
165,26.688288,0,0
166,26.062432,0,0
167,25.973024,0,0
168,25.838912,0,0
169,25.615392,0,0
170,25.7048,0,0
171,25.302464,0,0
172,25.48128,0,0
173,25.302464,0,0
174,25.25776,0,0
