veh.pt_type.HybridElectricVehicle.res.history.pwr_cat_max,veh.pt_type.HybridElectricVehicle.res.history.pwr_prop_max,veh.pt_type.HybridElectricVehicle.res.history.pwr_regen_max,veh.pt_type.HybridElectricVehicle.res.history.pwr_disch_max,veh.pt_type.HybridElectricVehicle.res.history.pwr_charge_max,veh.pt_type.HybridElectricVehicle.res.history.i,veh.pt_type.HybridElectricVehicle.res.history.soc,veh.pt_type.HybridElectricVehicle.res.history.eff,veh.pt_type.HybridElectricVehicle.res.history.soh,veh.pt_type.HybridElectricVehicle.res.history.pwr_out_electrical,veh.pt_type.HybridElectricVehicle.res.history.pwr_out_propulsion,veh.pt_type.HybridElectricVehicle.res.history.pwr_aux,veh.pt_type.HybridElectricVehicle.res.history.pwr_loss,veh.pt_type.HybridElectricVehicle.res.history.pwr_out_chemical,veh.pt_type.HybridElectricVehicle.res.history.energy_out_electrical,veh.pt_type.HybridElectricVehicle.res.history.energy_out_propulsion,veh.pt_type.HybridElectricVehicle.res.history.energy_aux,veh.pt_type.HybridElectricVehicle.res.history.energy_loss,veh.pt_type.HybridElectricVehicle.res.history.energy_out_chemical,veh.pt_type.HybridElectricVehicle.res.history.max_soc,veh.pt_type.HybridElectricVehicle.res.history.min_soc,veh.pt_type.HybridElectricVehicle.res.history.temperature_celsius,veh.pt_type.HybridElectricVehicle.fc.history.i,veh.pt_type.HybridElectricVehicle.fc.history.pwr_prop_max,veh.pt_type.HybridElectricVehicle.fc.history.eff,veh.pt_type.HybridElectricVehicle.fc.history.pwr_propulsion,veh.pt_type.HybridElectricVehicle.fc.history.energy_propulsion,veh.pt_type.HybridElectricVehicle.fc.history.pwr_aux,veh.pt_type.HybridElectricVehicle.fc.history.energy_aux,veh.pt_type.HybridElectricVehicle.fc.history.pwr_fuel,veh.pt_type.HybridElectricVehicle.fc.history.energy_fuel,veh.pt_type.HybridElectricVehicle.fc.history.pwr_loss,veh.pt_type.HybridElectricVehicle.fc.history.energy_loss,veh.pt_type.HybridElectricVehicle.fc.history.fc_on,veh.pt_type.HybridElectricVehicle.em.history.i,veh.pt_type.HybridElectricVehicle.em.history.eff,veh.pt_type.HybridElectricVehicle.em.history.pwr_mech_fwd_out_max,veh.pt_type.HybridElectricVehicle.em.history.pwr_mech_bwd_out_max,veh.pt_type.HybridElectricVehicle.em.history.pwr_rate_out_max,veh.pt_type.HybridElectricVehicle.em.history.pwr_out_req,veh.pt_type.HybridElectricVehicle.em.history.energy_out_req,veh.pt_type.HybridElectricVehicle.em.history.pwr_elec_prop_in,veh.pt_type.HybridElectricVehicle.em.history.energy_elec_prop_in,veh.pt_type.HybridElectricVehicle.em.history.pwr_mech_prop_out,veh.pt_type.HybridElectricVehicle.em.history.energy_mech_prop_out,veh.pt_type.HybridElectricVehicle.em.history.pwr_mech_dyn_brake,veh.pt_type.HybridElectricVehicle.em.history.energy_mech_dyn_brake,veh.pt_type.HybridElectricVehicle.em.history.pwr_elec_dyn_brake,veh.pt_type.HybridElectricVehicle.em.history.energy_elec_dyn_brake,veh.pt_type.HybridElectricVehicle.em.history.pwr_loss,veh.pt_type.HybridElectricVehicle.em.history.energy_loss,veh.state.dist,veh.state.grade_curr,veh.history.i,veh.history.pwr_prop_pos_max,veh.history.pwr_prop_neg_max,veh.history.pwr_tractive,veh.history.energy_tractive,veh.history.pwr_aux,veh.history.energy_aux,veh.history.pwr_drag,veh.history.energy_drag,veh.history.pwr_accel,veh.history.energy_accel,veh.history.pwr_ascent,veh.history.energy_ascent,veh.history.pwr_rr,veh.history.energy_rr,veh.history.pwr_whl_inertia,veh.history.energy_whl_inertia,veh.history.pwr_brake,veh.history.energy_brake,veh.history.curr_pwr_met,veh.history.all_curr_pwr_met,veh.history.speed_ach,veh.history.dist,veh.history.grade_curr,veh.history.air_density,cyc.init_elev,cyc.time_seconds,cyc.speed_mps,cyc.dist,cyc.grade,cyc.elev,cyc.pwr_max_chrg,sim_params.trace_miss_tol.tol_dist,sim_params.trace_miss_tol.tol_dist_frac
0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11990.433188724952,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,0.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,1,0.4999994160827494,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,0.95,0.25,22.0,1,0.0,0.1,0.0,0.0,1050.0,1050.0,13125.0,13125.0,13125.0,13125.0,true,1,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,1,53000.0,53000.0,0.0,0.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,1.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,2,0.4999988321654988,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,2100.0,0.0,2100.0,2096.846846846847,3.1531531531531534,0.95,0.25,22.0,2,0.0,0.1,0.0,0.0,1050.0,2100.0,13125.0,26250.0,13125.0,26250.0,true,2,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,2,53000.0,53000.0,0.0,0.0,1050.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,2.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,3,0.4999982482482482,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,3150.0,0.0,3150.0,3145.27027027027,4.72972972972973,0.95,0.25,22.0,3,0.0,0.1,0.0,0.0,1050.0,3150.0,13125.0,39375.0,13125.0,39375.0,true,3,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,3,53000.0,53000.0,0.0,0.0,1050.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,3.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,4,0.49999766433099757,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,4200.0,0.0,4200.0,4193.693693693694,6.306306306306307,0.95,0.25,22.0,4,0.0,0.1,0.0,0.0,1050.0,4200.0,13125.0,52500.0,13125.0,52500.0,true,4,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,4,53000.0,53000.0,0.0,0.0,1050.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,4.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,5,0.49999708041374696,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,5250.0,0.0,5250.0,5242.117117117117,7.882882882882884,0.95,0.25,22.0,5,0.0,0.1,0.0,0.0,1050.0,5250.0,13125.0,65625.0,13125.0,65625.0,true,5,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,5,53000.0,53000.0,0.0,0.0,1050.0,5250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,5.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,6,0.49999649649649636,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,6300.0,0.0,6300.0,6290.540540540541,9.45945945945946,0.95,0.25,22.0,6,0.0,0.1,0.0,0.0,1050.0,6300.0,13125.0,78750.0,13125.0,78750.0,true,6,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,6,53000.0,53000.0,0.0,0.0,1050.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,6.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,7,0.49999591257924575,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,7350.0,0.0,7350.0,7338.9639639639645,11.036036036036036,0.95,0.25,22.0,7,0.0,0.1,0.0,0.0,1050.0,7350.0,13125.0,91875.0,13125.0,91875.0,true,7,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,7,53000.0,53000.0,0.0,0.0,1050.0,7350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,7.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,8,0.49999532866199514,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,8400.0,0.0,8400.0,8387.387387387387,12.612612612612612,0.95,0.25,22.0,8,0.0,0.1,0.0,0.0,1050.0,8400.0,13125.0,105000.0,13125.0,105000.0,true,8,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,8,53000.0,53000.0,0.0,0.0,1050.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,8.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
0.0,98950.0,101050.0,100000.0,100000.0,9,0.49999474474474453,666.0,0.0,1050.0,0.0,1050.0,1048.4234234234234,1.5765765765765767,9450.0,0.0,9450.0,9435.81081081081,14.189189189189188,0.95,0.25,22.0,9,0.0,0.1,0.0,0.0,1050.0,9450.0,13125.0,118125.0,13125.0,118125.0,true,9,0.83,53000.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,11990.433188724952,0.0,9,53000.0,53000.0,0.0,0.0,1050.0,9450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,121.92,9.0,0.0,0.0,0.0,121.92,0.0,666.0,666.0
